tract2010,tract2020,weight,allocated_pop2010,method
55033970700,55033970700,1.00000000,6833.00,population
55033970800,55033970801,0.48981900,3031.00,population
55033970800,55033970802,0.51018100,3157.00,population
55035000100,55019950800,0.00000013,0.00,population
55035000100,55035000100,0.99999987,4817.00,population
55035000200,55035000100,0.00034241,1.65,population
55035000200,55035000200,0.99958767,4804.02,population
55035000200,55035000301,0.00006966,0.33,population
55035000200,55035001600,0.00000026,0.00,population
55035000301,55035000200,0.00002658,0.10,population
55035000301,55035000301,0.99997342,3628.90,population
55035000302,55035000302,1.00000000,6638.00,population
55035000400,55035000401,0.25154980,1826.00,population
55035000400,55035000402,0.74843313,5432.88,population
55035000400,55035000700,0.00001707,0.12,population
55035000501,55035000501,1.00000000,4864.00,population
55035000502,55035000301,0.00002823,0.13,population
55035000502,55035000502,0.99997177,4675.87,population
55035000600,55035000600,0.99979170,5105.94,population
55035000600,55035001101,0.00020830,1.06,population
55035000700,55035000700,1.00000000,4999.00,population
55035000801,55035000801,1.00000000,3544.00,population
55035000802,55035000802,1.00000000,3801.00,population
55035000803,55035000803,1.00000000,5737.00,population
55035000900,55035000900,1.00000000,4815.00,population
55035001101,55035001101,1.00000000,1939.00,population
55035001200,55035001200,1.00000000,5424.00,population
55035001300,55035001300,1.00000000,5131.00,population
55035001400,55035001401,0.44141531,3044.00,population
55035001400,55035001402,0.55858469,3852.00,population
55035001500,55035001500,1.00000000,3288.00,population
55035001600,55035001600,1.00000000,5449.00,population
55035001700,55035001700,1.00000000,5917.00,population
55037190100,55037190101,0.46792156,1218.00,population
55037190100,55037190102,0.52170572,1358.00,population
55037190100,55037190200,0.01037271,27.00,population
55037190200,55037190102,0.00439560,8.00,population
55037190200,55037190200,0.99560358,1812.00,population
55037190200,55041950100,0.00000082,0.00,population
55039040100,55039040100,1.00000000,4237.00,population
55039040200,55039040200,1.00000000,3021.00,population
55039040300,55039040300,0.99999744,5618.99,population
55039040300,55039041300,0.00000256,0.01,population
55039040400,55039040400,1.00000000,2849.00,population
55039040500,55039040500,1.00000000,3875.00,population
55039040700,55039040700,0.99997166,4262.88,population
55039040700,55039041901,0.00002834,0.12,population
55039040800,55039040800,1.00000000,4571.00,population
55039040900,55039040900,1.00000000,3263.00,population
55039041000,55039041000,1.00000000,2814.00,population
55039041100,55039041000,0.00236018,23.00,population
55039041100,55039041101,0.49644837,4837.89,population
55039041100,55039041102,0.50118009,4884.00,population
55039041100,55039041901,0.00001135,0.11,population
55039041300,55039041300,1.00000000,6573.00,population
55039041400,55039040700,0.00003196,0.19,population
55039041400,55039041400,0.99977855,5891.69,population
55039041400,55039041500,0.00000107,0.01,population
55039041400,55039041700,0.00007896,0.47,population
55039041400,55039041901,0.00010946,0.65,population
55039041500,55039041500,1.00000000,3096.00,population
55039041600,55039041600,1.00000000,6037.00,population
55039041700,55039041400,0.00019044,0.76,population
55039041700,55039041700,0.99974566,3984.99,population
55039041700,55039041800,0.00006390,0.25,population
55039041800,55039041700,0.00023994,1.16,population
55039041800,55039041800,0.99976006,4849.84,population
55039041900,55039040700,0.00000233,0.02,population
55039041900,55039041800,0.00000042,0.00,population
55039041900,55039041901,0.52378218,3760.76,population
55039041900,55039041902,0.47597411,3417.49,population
55039041900,55039042001,0.00002523,0.18,population
55039041900,55039042100,0.00000088,0.01,population
55039041900,55039042200,0.00021485,1.54,population
55039042000,55039041102,0.00043191,3.77,population
55039042000,55039041902,0.00000171,0.01,population
55039042000,55039042001,0.34537567,3010.99,population
55039042000,55039042002,0.65418617,5703.20,population
55039042000,55039042100,0.00000454,0.04,population
55039042100,55039041902,0.00005172,0.25,population
55039042100,55039042002,0.00002780,0.14,population
55039042100,55039042100,0.99992048,4926.61,population
55039042200,55039041902,0.00006082,0.37,population
55039042200,55039042200,0.99993918,6114.63,population
55041950100,55041950100,0.99999522,1259.99,population
55041950100,55041950300,0.00000478,0.01,population
55041950200,55041950200,0.99999858,2806.00,population
55041950200,55041950400,0.00000142,0.00,population
55041950300,55041950100,0.00000123,0.00,population
55041950300,55041950200,0.00153498,4.00,population
55041950300,55041950300,0.99846379,2603.99,population
55041950400,55041950100,0.00000682,0.02,population
55041950400,55041950300,0.00228137,6.00,population
55041950400,55041950400,0.99770971,2623.98,population
55041950400,55085970104,0.00000210,0.01,population
55043960100,55043960100,1.00000000,3656.00,population
55043960200,55043960200,0.99975282,4374.92,population
55043960200,55043960300,0.00024718,1.08,population
55043960300,55043960300,1.00000000,4116.00,population
55043960400,55043960400,0.99999931,3509.00,population
55043960400,55043960500,0.00000069,0.00,population
55043960500,55043960500,0.99999987,3864.00,population
55043960500,55043960800,0.00000013,0.00,population
55043960600,55043960600,1.00000000,3784.00,population
55043960700,55043960700,1.00000000,4075.00,population
55043960800,55043960800,0.99868291,3033.00,population
